Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e308f0b045558dbc415d59,6150224c57e32a81a27ccb5a,RETURNED,Not Applicable,2025-03-25T20:00:08.131000Z,,,2025-03-25T23:11:24.507047Z,,,1196,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e30982262f998ada53ed1a,6346e117e4e283094ff51b84,APPROVED,Not Applicable,2025-03-25T19:55:54.884000Z,2025-03-25T20:17:28.840000Z,2025-03-25T20:18:47.530000Z,2025-03-25T20:17:29.987667Z,1294.0,CYZTAQI1,1553,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
67e309e60afe01efa441c8dc,66cfab152c56aa0472529001,APPROVED,Not Applicable,2025-03-25T19:54:57.709000Z,2025-03-25T20:24:12.623000Z,2025-03-25T20:25:29.738000Z,2025-03-25T20:24:13.289466Z,1755.0,CYZTAQI1,622,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67e309ee4080e561fa20dbe8,63d9631e251c2e59497256b8,APPROVED,Not Applicable,2025-03-25T19:54:29.078000Z,2025-03-25T20:11:07.085000Z,2025-03-25T20:18:47.210000Z,2025-03-25T20:11:07.999289Z,999.0,CYZTAQI1,344,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
67e30a42c017aa740c9b9008,5d7f598628843a00181eb444,APPROVED,Not Applicable,2025-03-25T20:00:12.648000Z,2025-03-25T20:28:05.234000Z,2025-03-25T20:30:21.626000Z,2025-03-25T20:28:06.059210Z,1673.0,CYZTAQI1,2879,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67e30b614d9061f115b3c3fe,678494040ecf8612a433e58b,APPROVED,Not Applicable,2025-03-25T20:00:40.128000Z,2025-03-25T20:27:45.777000Z,2025-03-25T20:30:24.758000Z,2025-03-25T20:27:46.351770Z,1626.0,CYZTAQI1,249,English,21,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
67e30c6f8b6f646494fd9ae0,67629986c6e5e88e4bc23efb,RETURNED,Not Applicable,2025-03-25T20:05:10.373000Z,,,2025-03-25T23:11:24.606290Z,,,185,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e30d2bc8c7092019f24001,67385e27e364c9e40a5bcba5,APPROVED,Not Applicable,2025-03-25T20:08:40.038000Z,2025-03-25T20:31:39.669000Z,2025-03-25T20:34:03.846000Z,2025-03-25T20:31:40.287847Z,1380.0,CYZTAQI1,34,English,28,Female,Black,Malawi,United Kingdom,United Kingdom,English,No,Full-Time
67e30d3f135bbaaa2f8f5ef6,67dc1fe3dc4be2ef72bf2079,APPROVED,Not Applicable,2025-03-25T20:08:31.467000Z,2025-03-25T20:23:54.586000Z,2025-03-25T20:25:30.776000Z,2025-03-25T20:23:57.516531Z,924.0,CYZTAQI1,22,English,58,Female,Black,United States,United States,United States,English,No,Part-Time
67e30d7a5070686aff7e38b0,66bdfaf566dfad11cf7db0a5,APPROVED,Not Applicable,2025-03-25T20:09:30.363000Z,2025-03-25T20:32:15.326000Z,2025-03-25T20:34:04.236000Z,2025-03-25T20:32:16.125071Z,1365.0,CYZTAQI1,354,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
67e30d9a5dfb2225c2950774,5da6b2aca2860400146b8ace,APPROVED,Not Applicable,2025-03-25T20:10:02.014000Z,2025-03-25T20:28:50.941000Z,2025-03-25T20:30:27.450000Z,2025-03-25T20:28:51.860547Z,1129.0,CYZTAQI1,2138,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67e30ed5a68065a9f9f458bb,5d5b4ffc1a12e70018ca1268,APPROVED,Not Applicable,2025-03-25T20:18:01.458000Z,2025-03-25T20:36:49.020000Z,2025-03-25T20:36:58.992000Z,2025-03-25T20:36:49.859977Z,1128.0,CYZTAQI1,3136,English,41,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
